title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category,folder
Notice on Printing and Distributing the National Informationization Development Strategy (2006-2020),19.03.2006,national,People's Republic of China,FALSE,general,[],[],[],[],[],Promotes national informationization and security.,FALSE,2_admin_regulations/中共中央办公厅、国务院办公厅关于印发《2006－...(FBM-CLI.16.76358).txt,2_admin_regulations,data protection
Notice of the State Council on Printing and Distributing the Overall Plans for Six Newly Established Pilot Free Trade Zones,02.08.2019,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,2_admin_regulations/国务院关于印发6个新设自由贸易试验区总体方...(FBM-CLI.2.335289).txt,2_admin_regulations,data protection
Opinions on Promoting the Healthy and Orderly Development of Mobile Internet,01.01.2017,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes data protection and user rights.,FALSE,2_admin_regulations/中共中央办公厅、国务院办公厅印发《关于促进...(FBM-CLI.16.288732).txt,2_admin_regulations,data protection
Opinions on Promoting the High-Quality Development of the Social Credit System to Form a New Development Pattern,29.03.2022,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes social credit system and data protection.,TRUE,2_admin_regulations/中共中央办公厅、国务院办公厅印发《关于推进...(FBM-CLI.16.5115443).txt,2_admin_regulations,data protection
2017 Fourth Quarter National Government Website Inspection Report,26.01.2018,national,People's Republic of China,TRUE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Enhances government website management and security.,FALSE,2_admin_regulations/2017年第四季度全国政府网站抽查情况通报(FBM-CLI.2.309901).txt,2_admin_regulations,data protection
Notice of the General Office of the State Council on Printing and Distributing the Key Points of Government Information Disclosure Work in 2020,21.06.2020,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Enhances government transparency and information disclosure.,FALSE,2_admin_regulations/国务院办公厅关于印发2020年政务公开工作要点的...(FBM-CLI.2.343754).txt,2_admin_regulations,data protection
Notice of the State Council on Printing and Distributing the National Fitness Plan (2021-2025),18.07.2021,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Promotes public health and fitness services.,FALSE,2_admin_regulations/国务院关于印发全民健身计划(2021—2025年)的通知(FBM-CLI.2.5054763).txt,2_admin_regulations,data protection
Guiding Opinions on Actively Promoting the 'Internet+' Action,01.07.2015,national,People's Republic of China,FALSE,general,[],[],"['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations', 'Health & Social Work', 'Education', 'Transportation, Storage & Postal Services', 'Financial Intermediation', 'Agriculture, Forestry, Animal Husbandry & Fishery']",[],[],Promotes integration of internet in various sectors.,FALSE,2_admin_regulations/国务院关于积极推进“互联网 ”行动的指导意...(FBM-CLI.2.250823).txt,2_admin_regulations,data protection
The Eighth Five-Year Plan for Law Popularization and Education (2021-2025),15.06.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],Promotes legal education and awareness.,FALSE,2_admin_regulations/中共中央、国务院转发《中央宣传部、司法部关...(FBM-CLI.16.5015288).txt,2_admin_regulations,data protection
State Council Notice on Printing and Distributing the 14th Five-Year Plan for Modern Market Regulation,14.12.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],Modernizing market regulation and enhancing consumer protection.,FALSE,2_admin_regulations/国务院关于印发“十四五”市场监管现代化规划...(FBM-CLI.2.5113908).txt,2_admin_regulations,data protection
Several Opinions on the Construction of the Social Credit System,23.03.2007,national,People's Republic of China,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],Promotes social credit system development.,FALSE,2_admin_regulations/国务院办公厅关于社会信用体系建设的若干意见(FBM-CLI.2.89691).txt,2_admin_regulations,data protection
Notice on Printing and Distributing the Overall Plan for Promoting High-Level Institutional Opening of China (Shanghai) Pilot Free Trade Zone to Align with International High Standards of Economic and Trade Rules,26.11.2023,national,China,FALSE,general,[],[],"['Information Transmission, Software & IT Services', 'Financial Intermediation']",[],[],Promotes data security and cross-border data flow.,FALSE,2_admin_regulations/国务院关于印发《全面对接国际高标准经贸规则...(FBM-CLI.2.5183955).txt,2_admin_regulations,data protection
Opinions of the State Council on Promoting Information Consumption and Expanding Domestic Demand,08.08.2013,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Strengthening personal information protection measures.,TRUE,2_admin_regulations/国务院关于促进信息消费扩大内需的若干意见(FBM-CLI.2.208357).txt,2_admin_regulations,data protection
Guiding Opinions on Improving the Long-term Mechanism for Basic Medical Insurance Participation,26.07.2024,national,People's Republic of China,FALSE,general,[],[],['Health & Social Work'],[],[],Improves medical insurance participation mechanisms.,FALSE,2_admin_regulations/国务院办公厅关于健全基本医疗保险参保长效机...(FBM-CLI.2.5228461).txt,2_admin_regulations,data protection
Guiding Opinions on Accelerating the Construction of High-Speed Broadband Networks and Promoting Network Speed Increase and Fee Reduction,16.05.2015,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Promotes broadband network construction and user protection.,FALSE,2_admin_regulations/国务院办公厅关于加快高速宽带网络建设推进网...(FBM-CLI.2.248648).txt,2_admin_regulations,data protection
Opinions on Improving the Volunteer Service System in the New Era,12.04.2024,national,People's Republic of China,FALSE,general,[],[],[],[],[],Improves volunteer service system for social governance.,FALSE,2_admin_regulations/中共中央办公厅、国务院办公厅关于健全新时代...(FBM-CLI.16.5191991).txt,2_admin_regulations,data protection
Notice on Printing and Distributing the Implementation Plan for the Integration and Sharing of Government Affairs Information Systems,03.05.2017,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes integration and sharing of government data.,FALSE,2_admin_regulations/国务院办公厅关于印发政务信息系统整合共享实...(FBM-CLI.2.294997).txt,2_admin_regulations,data protection
National Electronic Document Management Work Plan (2011-2015),30.05.2011,national,People's Republic of China,FALSE,general,[],[],[],[],[],Framework for electronic document management.,FALSE,2_admin_regulations/中共中央办公厅、国务院办公厅关于印发《国家...(FBM-CLI.16.306929).txt,2_admin_regulations,data protection
Opinions on Establishing a 'Good and Bad Review' System for Government Services to Improve Government Service Levels,03.12.2019,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Improves government service evaluation and accountability.,FALSE,2_admin_regulations/国务院办公厅关于建立政务服务“好差评”制度...(FBM-CLI.2.337951).txt,2_admin_regulations,data protection
Opinions on Promoting the Development of 'Internet + Healthcare',25.04.2018,national,People's Republic of China,FALSE,sensitive,"['Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes healthcare data protection and privacy.,FALSE,2_admin_regulations/国务院办公厅关于促进“互联网 医疗健康”发...(FBM-CLI.2.314009).txt,2_admin_regulations,data protection
Decision of the Standing Committee of the Shanghai Municipal People's Congress on Further Promoting and Ensuring the Construction of 'One Network for Urban Operation',24.05.2022,city,Shanghai,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing']",Promotes urban governance through digital integration.,FALSE,3_local_regulations/上海市人民代表大会常务委员会关于进一步促进...(FBM-CLI.10.5109594).txt,3_local_regulations,data protection
Decision of the Standing Committee of the People's Congress of Anhui Province on Strengthening Public Interest Litigation Work,13.11.2020,provincial,Anhui Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing']",Strengthens public interest litigation and data protection.,FALSE,3_local_regulations/安徽省人民代表大会常务委员会关于加强检察公...(FBM-CLI.10.1656011).txt,3_local_regulations,data protection
Zhejiang Provincial Audit Regulations (2023 Revision),28.07.2023,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Processing', 'Information Dissemination']",Regulations for auditing and data protection.,FALSE,3_local_regulations/浙江省审计条例(2023修订)(FBM-CLI.10.7055216).txt,3_local_regulations,data protection
Decision of the Standing Committee of the People's Congress of Tibet Autonomous Region on Strengthening Public Interest Litigation Work in the New Era,15.11.2022,provincial,Tibet Autonomous Region,FALSE,general,[],"['Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",['Personal Information Protection'],['Information Processing'],Strengthens public interest litigation and data protection.,FALSE,3_local_regulations/西藏自治区人民代表大会常务委员会关于加强新...(FBM-CLI.10.5638997).txt,3_local_regulations,data protection
Regulations on the Promotion of Digital Economy in Guangdong Province,30.07.2021,provincial,Guangdong Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes digital economy and data protection.,FALSE,3_local_regulations/广东省数字经济促进条例(FBM-CLI.10.4218696).txt,3_local_regulations,data protection
Shanghai Data Regulation,25.11.2021,city,Shanghai,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations', 'Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates data processing and individual rights.,TRUE,3_local_regulations/上海市数据条例(FBM-CLI.10.4778830).txt,3_local_regulations,data protection
Decision on Implementing the Real-Name Registration System for Telecommunications Users,30.12.2015,provincial,Guangdong Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates real-name registration for telecom users.,FALSE,3_local_regulations/广东省人民代表大会常务委员会关于落实电信用...(FBM-CLI.10.1154065).txt,3_local_regulations,data protection
Hebei Province Public Safety Construction Regulations (2024 Revision),25.09.2024,provincial,Hebei Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification', 'Compliance Audits', 'Impact Assessment']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations for public safety and risk management.,FALSE,3_local_regulations/河北省平安建设条例(2024修订)(FBM-CLI.10.7804359).txt,3_local_regulations,data protection
Decision of the Standing Committee of the People's Congress of Xinjiang Uygur Autonomous Region on Strengthening Legal Supervision Work of the Procuratorial Organs in the New Era,27.05.2022,provincial,Xinjiang Uygur Autonomous Region,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],,FALSE,3_local_regulations/新疆维吾尔自治区人民代表大会常务委员会关于...(FBM-CLI.10.5127561).txt,3_local_regulations,data protection
Hebei Province Informationization Regulations (2021 Revision),31.03.2021,provincial,Hebei Province,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates information collection and usage.,FALSE,3_local_regulations/河北省信息化条例(2021修订)(FBM-CLI.10.4134032).txt,3_local_regulations,data protection
Wuhan Intelligent Connected Vehicle Development Promotion Regulations,28.08.2024,city,Wuhan,FALSE,general,[],"['Security & Management', 'Incident Response & Notification', 'Compliance Audits']","['Information Transmission, Software & IT Services', 'Transportation, Storage & Postal Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations for promoting intelligent vehicles.,FALSE,3_local_regulations/武汉市智能网联汽车发展促进条例(FBM-CLI.10.8048476).txt,3_local_regulations,data protection
Decision of the Standing Committee of the People's Congress of Jiangxi Province on Strengthening Public Interest Litigation by the Procuratorial Organs,26.07.2022,provincial,Jiangxi Province,FALSE,general,['Next of Kin'],"['Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Strengthens public interest litigation and protects personal information.,FALSE,3_local_regulations/江西省人民代表大会常务委员会关于加强检察公...(FBM-CLI.10.5488691).txt,3_local_regulations,data protection
Beijing Autonomous Driving Vehicle Regulations,31.12.2024,city,Beijing,FALSE,general,[],"['Security & Management', 'Data Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Transportation, Storage & Postal Services']","['Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates autonomous vehicle safety and data management.,FALSE,3_local_regulations/北京市自动驾驶汽车条例(FBM-CLI.10.8436903).txt,3_local_regulations,data protection
Inner Mongolia Autonomous Region Social Credit Regulations,25.07.2024,provincial,Inner Mongolia Autonomous Region,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/内蒙古自治区社会信用条例(FBM-CLI.10.7672561).txt,3_local_regulations,data protection
Chengdu Beautiful and Livable Park City Construction Regulations,25.01.2021,provincial,Sichuan Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/成都市美丽宜居公园城市建设条例(FBM-CLI.10.4225318).txt,3_local_regulations,data protection
Dongguan Property Management Regulations,29.12.2023,city,Dongguan,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates property management and owner rights.,TRUE,3_local_regulations/东莞市物业管理条例(FBM-CLI.10.7449140).txt,3_local_regulations,data protection
Decision of the Standing Committee of the People's Congress of Zhejiang Province on the Governance of False Information on the Internet,29.09.2021,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],['Information Dissemination'],Regulates online false information governance.,FALSE,3_local_regulations/浙江省人民代表大会常务委员会关于网络虚假信...(FBM-CLI.10.4283585).txt,3_local_regulations,data protection
Zhejiang Province Digital Economy Promotion Regulations,24.12.2020,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes data security and personal information protection.,FALSE,3_local_regulations/浙江省数字经济促进条例(FBM-CLI.10.1673145).txt,3_local_regulations,data protection
Regulations on Local Finance in Xiamen Special Economic Zone,30.10.2020,city,Xiamen,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Incident Response & Notification']",['Financial Intermediation'],[],['Information Processing'],Regulates local financial organizations and protects consumer data.,FALSE,3_local_regulations/厦门经济特区地方金融条例(FBM-CLI.10.1659113).txt,3_local_regulations,data protection
Baoding Express Industry Promotion Regulations,16.06.2022,city,Baoding,FALSE,general,[],"['Security & Management', 'Compliance Audits']","['Transportation, Storage & Postal Services']",['Cross-Border Transfer'],"['Information Processing', 'Information Dissemination']",Regulations to promote express industry and protect users.,TRUE,3_local_regulations/保定市快递业促进条例(FBM-CLI.10.5499197).txt,3_local_regulations,data protection
Regulations on Promoting Digital Economy in Hainan Free Trade Port,29.11.2024,provincial,Hainan Province,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations', 'Health & Social Work']","['Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes digital economy and data protection.,FALSE,3_local_regulations/海南自由贸易港数字经济促进条例(FBM-CLI.10.8046934).txt,3_local_regulations,data protection
Hunan Province Communication Regulations (2020 Revision),27.05.2017,provincial,Hunan Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates communication services and user data protection.,FALSE,3_local_regulations/湖南省通信条例(2020修正)(FBM-CLI.10.4066375).txt,3_local_regulations,data protection
Taizhou Urban Rail Transit Regulations,31.10.2024,city,Taizhou,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations for urban rail transit management and safety.,FALSE,3_local_regulations/台州市城市轨道交通条例(FBM-CLI.10.8189401).txt,3_local_regulations,data protection
Guizhou Urban Gas Management Regulations (2021 Revision),29.09.2021,provincial,Guizhou Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates urban gas management and safety.,FALSE,3_local_regulations/贵州省城镇燃气管理条例(2021修正)(FBM-CLI.10.4283683).txt,3_local_regulations,data protection
Regulations on the Protection of Historical and Cultural Districts in Quzhou City,31.03.2021,city,Quzhou City,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/衢州市历史文化街区保护条例(FBM-CLI.10.4214381).txt,3_local_regulations,data protection
Zhejiang Province Express Delivery Promotion Regulations,29.09.2021,provincial,Zhejiang Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates express delivery services and data protection.,TRUE,3_local_regulations/浙江省快递业促进条例(FBM-CLI.10.4283579).txt,3_local_regulations,data protection
Regulations on Promoting Social Credit Construction in Tangshan,31.10.2023,city,Tangshan,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/唐山市社会信用建设促进条例(FBM-CLI.10.7285652).txt,3_local_regulations,data protection
Guizhou Province Minor Protection Regulations (2021 Revision),29.07.2021,provincial,Guizhou Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to protect minors' rights and privacy.,FALSE,3_local_regulations/贵州省未成年人保护条例(2021修订)(FBM-CLI.10.4215905).txt,3_local_regulations,data protection
Shandong Province Express Delivery Promotion Regulations,26.09.2024,provincial,Shandong Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates express delivery services and user data protection.,TRUE,3_local_regulations/山东省快递业促进条例(FBM-CLI.10.7827962).txt,3_local_regulations,data protection
Zhejiang Province Electricity Regulations,29.09.2022,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Production & Supply of Electricity, Heat, Gas & Water']",[],['Information Processing'],Regulates electricity supply and safety.,FALSE,3_local_regulations/浙江省电力条例(FBM-CLI.10.5573115).txt,3_local_regulations,data protection
Wuhan Human Resources Market Promotion Regulations,22.04.2024,city,Wuhan,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],['Information Processing'],Regulates human resources market and data protection.,FALSE,3_local_regulations/武汉市人力资源市场促进条例(FBM-CLI.10.7434708).txt,3_local_regulations,data protection
Decision of the Standing Committee of the Shaanxi Provincial People's Congress on Carrying Out the Eighth Five-Year Legal Publicity and Education,28.07.2021,provincial,Shaanxi Province,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",['Personal Information Protection'],[],Promotes legal awareness and education.,FALSE,3_local_regulations/陕西省人民代表大会常务委员会关于开展第八个...(FBM-CLI.10.4218324).txt,3_local_regulations,data protection
Regulations on Promoting Digital Economy in Inner Mongolia Autonomous Region,30.05.2024,provincial,Inner Mongolia Autonomous Region,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations', 'Health & Social Work']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Promotes digital economy and data protection.,FALSE,3_local_regulations/内蒙古自治区数字经济促进条例(FBM-CLI.10.7543040).txt,3_local_regulations,data protection
Decision of the Standing Committee of the Guangdong Provincial People's Congress on Strengthening Public Interest Litigation by the Procuratorial Organs,29.07.2020,provincial,Guangdong Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations', 'Health & Social Work', 'Water Conservancy, Environment & Public Facilities Management']","['Cross-Border Transfer', 'Parental Consent for Minors']","['Information Collection', 'Information Processing', 'Information Dissemination']",Strengthens public interest litigation and data protection.,FALSE,3_local_regulations/广东省人民代表大会常务委员会关于加强检察公...(FBM-CLI.10.1616491).txt,3_local_regulations,data protection
Shangrao City Historical Building Protection Regulations,01.05.2019,city,Shangrao,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/上饶市历史建筑保护条例(FBM-CLI.10.1521943).txt,3_local_regulations,data protection
"Zhejiang Province Historical and Cultural Cities, Towns, and Villages Protection Regulations",28.09.2012,provincial,Zhejiang Province,TRUE,general,[],[],[],[],[],Regulations for protecting cultural heritage.,FALSE,3_local_regulations/浙江省历史文化名城名镇名村保护条例(FBM-CLI.10.661514).txt,3_local_regulations,data protection
Regulations on Property Management in Residential Communities of Qingyuan City,24.06.2022,city,Qingyuan City,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']",['Real Estate'],[],"['Information Collection', 'Information Processing']",Regulates property management and personal information protection.,FALSE,3_local_regulations/清远市住宅小区物业管理条例(FBM-CLI.10.5705452).txt,3_local_regulations,data protection
Regulations on the Social Security Card Integrated Service in Jiangxi Province,31.05.2022,provincial,Jiangxi Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social security card services and data protection.,TRUE,3_local_regulations/江西省社会保障卡一卡通条例(FBM-CLI.10.5117991).txt,3_local_regulations,data protection
Chongqing Audit Regulations,27.09.2023,city,Chongqing,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates audit practices and data protection.,FALSE,3_local_regulations/重庆市审计条例(FBM-CLI.10.7182202).txt,3_local_regulations,data protection
Hunan Province Social Credit Regulations,26.05.2022,provincial,Hunan Province,FALSE,general,"['Access & Copy', 'Rectification']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/湖南省社会信用条例(FBM-CLI.10.5117764).txt,3_local_regulations,data protection
Yangzhou Civil Behavior Promotion Regulations (2023 Revision),31.05.2023,city,Yangzhou,FALSE,general,[],"['Security & Management', 'Compliance Audits', 'Incident Response & Notification']",[],"['Personal Information Protection', 'Minors Protection']",[],Regulates civil behavior and promotes social norms.,FALSE,3_local_regulations/扬州市文明行为促进条例(2023修正)(FBM-CLI.10.6959408).txt,3_local_regulations,data protection
Guangzhou Express Regulations,31.03.2023,city,Guangzhou,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates express delivery services and data protection.,TRUE,3_local_regulations/广州市快递条例(FBM-CLI.10.6972417).txt,3_local_regulations,data protection
